23061,22092,-969
22969,23314,345
22369,22692,323
25505,23132,-2373
23146,22070,-1076
23492,23506,14
23590,22851,-739
23106,23159,53
23104,23513,409
22272,22412,140
23510,22909,-601
23090,22328,-762
22981,22468,-513
23114,22890,-224
23158,22442,-716
22741,22158,-583
24100,22685,-1415
22693,22622,-71
23466,22836,-630
22208,22751,543
23145,22221,-924
22336,22818,482
22234,22682,448
22311,22333,22
22714,22606,-108
22613,22710,97
23536,22979,-557
23069,23174,105
23514,23068,-446
24612,22235,-2377
23515,22743,-772
22907,22506,-401
22435,22179,-256
22734,23215,481
22515,22718,203
24935,22715,-2220
22734,23038,304
22741,23052,311
23154,22939,-215
22690,22391,-299
22724,22689,-35
23136,24147,1011
22698,22854,156
23509,22991,-518
22492,21553,-939
22746,23405,659
22497,22683,186
23306,23123,-183
23124,22420,-704
21911,22903,992
23091,22743,-348
22086,22099,13
23011,23562,551
22410,21905,-505
22307,24144,1837
22661,22531,-130
23122,22484,-638
22289,22735,446
22163,22076,-87
23069,22509,-560
23503,22809,-694
23104,23214,110
22724,22369,-355
23119,23100,-19
22734,22136,-598
23112,23503,391
23180,23124,-56
22315,23739,1424
22306,23124,818
22962,22317,-645
23158,21713,-1445
22406,22281,-125
22332,22573,241
23033,23129,96
23561,22305,-1256
21867,23161,1294
23440,22315,-1125
22682,22841,159
22559,23115,556
22446,23186,740
22395,24357,1962
23152,22312,-840
23525,23507,-18
23491,22353,-1138
23142,22812,-330
23164,23096,-68
22545,23112,567
22301,22823,522
23002,22782,-220
22491,22818,327
23096,23156,60
22731,23071,340
22708,21920,-788
24660,22449,-2211
22053,22754,701
23092,22781,-311
23522,22970,-552
22739,22402,-337
23051,22718,-333
22675,22871,196
22662,23279,617
22278,22657,379
23164,26515,3351
23255,21544,-1711
22310,22050,-260
22824,23098,274
24549,23145,-1404
22692,23168,476
23086,22988,-98
22333,23528,1195
22621,22960,339
23386,22746,-640
23218,21722,-1496
23551,23564,13
22540,22308,-232
22758,23195,437
21909,22715,806
22982,23191,209
23053,24583,1530
22995,22666,-329
22476,22303,-173
21910,23117,1207
22248,22972,724
22478,23130,652
22278,23055,777
23116,23225,109
22254,23240,986
23724,22820,-904
21880,23142,1262
22118,22504,386
22326,23233,907
22991,24553,1562
22325,22425,100
22988,23077,89
22470,22825,355
23163,22762,-401
22347,22324,-23
23121,22650,-471
22312,22051,-261
22685,22386,-299
22753,22150,-603
22770,22680,-90
23064,22438,-626
22221,22965,744
22789,24896,2107
22845,22350,-495
25039,22873,-2166
22427,23508,1081
23268,22379,-889
22678,22150,-528
23054,22035,-1019
22656,23126,470
22711,22303,-408
23119,22761,-358
22926,23498,572
22718,23041,323
21761,23231,1470
22528,24370,1842
22592,22158,-434
22732,23116,384
23496,22720,-776
22701,23177,476
23457,22724,-733
22790,23530,740
22870,22341,-529
24182,23481,-701
22903,23157,254
23447,22842,-605
22527,22650,123
22312,23099,787
24602,22607,-1995
22324,23350,1026
22164,22841,677
22276,22718,442
23092,22745,-347
22147,23048,901
23540,22209,-1331
22750,22489,-261
22354,22853,499
22712,22816,104
22608,22149,-459
22950,23399,449
21970,23521,1551
24018,22608,-1410
23194,23867,673
22742,23127,385
22354,23135,781
23110,22251,-859
22516,22485,-31
22647,23403,756
22794,22095,-699
21588,23410,1822
22719,22430,-289
22166,22700,534
23725,22732,-993
23160,25078,1918
22287,22459,172
21807,23049,1242
22430,22152,-278
23078,22732,-346
23382,22664,-718
23150,23161,11
21938,22414,476
23144,22244,-900
23117,22405,-712
22936,22860,-76
22788,22998,210
23118,23192,74
22705,24646,1941
22716,22723,7
23043,22036,-1007
23152,22894,-258
22673,23007,334
22679,22307,-372
22809,23225,416
22706,22410,-296
22722,23119,397
22349,23332,983
22323,23106,783
22359,21942,-417
23154,22959,-195
23059,24107,1048
22705,23229,524
22611,22714,103
22488,23028,540
23479,22359,-1120
23519,22250,-1269
23136,22722,-414
22307,23016,709
23142,23090,-52
21917,22877,960
22518,22639,121
22681,23514,833
23074,22644,-430
21989,24139,2150
